pub_date,pub_time,headline,url,section,source,snippet,byline,news_desk,material_type
2014-11-11,19:27:17,U.S. and China Reach Climate Accord After Months of Talks,https://www.nytimes.com/2014/11/12/world/asia/china-us-xi-obama-apec.html,World,The New York Times,"The deal, the signature achievement of President Obama’s state visit to China, could galvanize efforts to negotiate a new global agreement.",By Mark Landler,Foreign,News
2014-11-12,18:29:34,What the Climate Accord Could Change,https://www.nytimes.com/video/world/asia/100000003230992/what-the-climate-accord-could-change.html,World,The New York Times,The possible effects for the coal and automobile industries of the landmark agreement between the United States and China.,Carrie Halperin,Foreign,Video
2014-11-12,20:35:29,Deal on Carbon Emissions by Obama and Xi Jinping Raises Hopes for Upcoming Paris Climate Talks,https://www.nytimes.com/2014/11/13/world/asia/deal-on-carbon-emissions-by-obama-and-xi-jinping-raises-hopes-for-upcoming-paris-climate-talks.html,World,The New York Times,The emissions targets announced by President Obama and the Chinese leader are expected to be at the heart of a 2015 international climate treaty.,By Coral Davenport,Foreign,News Analysis
2014-11-13,02:27:47,Climate Accord Relies on Environmental Policies Now in Place ,https://www.nytimes.com/2014/11/13/world/climate-pact-by-us-and-china-relies-on-policies-now-largely-in-place.html,Science,The New York Times,"The United States and China should both be able to meet the stated goals by aggressively pursuing policies that are largely underway, analysts said.",By Henry Fountain and John Schwartz,Foreign,News
2014-11-28,09:22:01,Q. and A.: Ann E. Carlson and Alex Wang on the U.S.-China Climate Accord,https://sinosphere.blogs.nytimes.com/2014/11/28/q-and-a-alex-wang-and-ann-e-carlson-on-the-u-s-china-climate-accord/,World,The New York Times,"Alex Wang and Ann E. Carlson, law professors at the University of California, Los Angeles, who study environmental policy and regulations in the United States and China, responded to questions about the United States-China agreement on cutting gre...",By Edward Wong,Foreign,News
2014-11-30,18:06:08,Optimism Faces Grave Realities at Climate Talks,https://www.nytimes.com/2014/12/01/world/climate-talks.html,World,The New York Times,"Even as United Nations negotiators expressed optimism that they may finally achieve a deal, experts cautioned that it probably would not stave off global warming’s near-term impact.",By Coral Davenport,Foreign,News
2014-12-14,07:54:13,A Climate Accord Based on Global Peer Pressure ,https://www.nytimes.com/2014/12/15/world/americas/lima-climate-deal.html,World,The New York Times,"The agreement reached in Lima, Peru, would be a breakthrough in 20 years of efforts to create a global warming accord, but it falls short of what scientists say is needed.",By Coral Davenport,Foreign,News
2015-04-20,18:43:34,Batteries and Renewable Energy Set to Grow Together,https://www.nytimes.com/2015/04/21/science/batteries-and-renewable-energy-set-to-grow-together.html,Science,The New York Times,"As sun and wind become bigger parts of the electricity mix, scientists are pushing to increase the capacity of battery storage.",By Henry Fountain,Science,News
2015-06-30,18:33:54,"Global Climate Pact Gains Momentum as China, U.S. and Brazil Detail Plans",https://www.nytimes.com/2015/07/01/world/americas/us-and-brazil-agree-on-climate-change-actions.html,World,The New York Times,"President Obama and President Dilma Rousseff of Brazil pledged to increase the use of wind and solar power, and Brazil said it would restore nearly 30 million acres of Amazon rain forest.",By Coral Davenport,Foreign,News
2015-11-03,22:24:35,"China Burns Much More Coal Than Reported, Complicating Climate Talks",https://www.nytimes.com/2015/11/04/world/asia/china-burns-much-more-coal-than-reported-complicating-climate-talks.html,World,The New York Times,"China has been using up to 17 percent more coal a year than reported. By some estimates, that means almost a billion more tons of carbon dioxide released annually.",By Chris Buckley,Foreign,News
